Country,Continent,Gender,Asterisk,WorldRecord,Athlete,Year,cleantime,speed
Comoros,Africa,M,,,Hadhari Djaffar,2002,10.38,9.633911368
Comoros,Africa,F,,,Feta Ahamada,2009,11.59,8.628127696
Cook Islands,Oceania,M,,,Mark Sherwin,1993,10.97,9.115770283
Cook Islands,Oceania,F,,,Patricia Taea,2016,12.2,8.196721311
Croatia,Europe,M,,,Dario Horvat,2013,10.2,9.803921569
Croatia,Europe,F,,,Andrea Ivancevic,2015,11.3,8.849557522
Cuba,North America,F,,,Liliana Allen,1999,11.9,8.403361345
Cuba,North America,M,,,Silvio Leonard,1977,9.98,10.02004008
Cyprus,Europe,M,,,Yiannakis Zisimides,1996,10.11,9.891196835
Cyprus,Europe,F,,,Ramona Papaioannou,2016,11.25,8.888888889
Czech Republic,Europe,M,,,Jan Veleba,2010,10.23,9.775171065
Czech Republic,Europe,F,,,Jarmila Kratochvilova,1981,11.09,9.017132552
Denmark,Europe,M,,,Morten Jensen,2004,10.29,9.718172983
Denmark,Europe,F,,,Dorthe A. Rasmussen,1983,11.42,8.756567426
Djibouti,Africa,M,,,Mohamed Gouled,1984,10.8,9.259259259
Djibouti,Africa,F,,,Fathia Ali Bouraleh,2007,12.83,7.794232268
Dominican Republic,North America,M,,,Yancarlos Martinez,2015,10.14,9.861932939
Dominican Republic,North America,F,,,Mariely Sanchez,2013,11.24,8.896797153
Ecuador,South America,M,,,Alex Quinonez,2013,10.09,9.910802775
Ecuador,South America,F,,,Angela Tenorio,2015,10.99,9.099181074
Egypt,Africa,M,,,Amr Ibrahim Mostafa Seoud,2011,10.13,9.871668312
Egypt,Africa,F,,,Karima Meskin Saad,1991,11.8,8.474576271
El Salvador,North America,M,,,Ruben Benitez,1998,10.35,9.661835749
El Salvador,North America,F,,,Leticia Sorto,1998,12.08,8.278145695
Equatorial Guinea,Africa,M,,,Gustavo Envela,1985,10.4,9.615384615
Equatorial Guinea,Africa,F,,,Teresa Mangue Eyene,2013,12.34,8.103727715
Estonia,Europe,M,,,Marek Niit,2012,10.19,9.813542689
Estonia,Europe,F,,,Ksenija Balta,2014,11.35,8.810572687
Ethiopia,Africa,M,,,Wetere Galcha,2008,10.61,9.425070688
Ethiopia,Africa,F,,,Atkelt Wubeshet,2006,11.55,8.658008658
Federated States of Micronesia,Oceania,M,,,John Howard,2009,10.83,9.233610342
Federated States of Micronesia,Oceania,F,,,Rita Epina,1996,13.09,7.639419404
Fiji,Oceania,M,,,Banuve Tabakaucoro,2016,10.2,9.803921569
Fiji,Oceania,F,,,Makelesi Batimala,2007,11.55,8.658008658
Finland,Europe,M,,,Tommi Hartonen,2001,10.21,9.794319295
Finland,Europe,F,,,Helina Marjamaa,1983,11.13,8.984725966
France,Europe,M,,,Jimmy Vicaut,2015,9.86,10.14198783
France,Europe,F,,,Christine Arron,1998,10.73,9.319664492
French Polynesia,Oceania,M,,,Jean Bourne,1972,10.52,9.505703422
French Polynesia,Oceania,F,,,Albertine An,1988,11.95,8.368200837
Gabon,Africa,M,,,Antoine Boussombo,2000,10.13,9.871668312
Gabon,Africa,F,,,Ruddy Zang Milama,2012,11.03,9.066183137
Gambia,Africa,M,,,Suwaibou Sanneh,2013,10.16,9.842519685
Gambia,Africa,F,,,Gina Bass,2016,11.43,8.748906387
Georgia,Europe,M,,,Besik Gotsiridze,1987,10.35,9.661835749
Georgia,Europe,F,,,Maia Azarashvili,1988,11.08,9.025270758
Germany,Europe,M,,,Julian Reus,2016,10.01,9.99000999
Germany,Europe,F,,Y,Marlies Gohr,1983,10.81,9.250693802
Ghana,Africa,M,,,Leonard Myles-Mills,1999,9.98,10.02004008
Ghana,Africa,F,,,Vida Anim,2004,11.14,8.976660682
Gibraltar,Europe,M,,,Jessy Franco,2013,11.27,8.873114463
Gibraltar,Europe,F,,,Sharon Celecia,1991,12.1,8.26446281
Greece,Europe,M,,,Angelos Pavlakakis,1997,10.11,9.891196835
Greece,Europe,F,,,Ekaterini Thanou,1999,10.83,9.233610342
Grenada,North America,M,,,Sean Lambert,2001,10.17,9.832841691
Grenada,North America,F,,,Sherry Fletcher,2007,11.18,8.944543828
Guam,Oceania,M,,,Philam Garcia,2004,10.66,9.380863039
Guam,Oceania,F,,,Regine Tugade,2015,12.26,8.156606852
Guatemala,North America,M,,,Oscar Meneses,1998,10.32,9.689922481
Guatemala,North America,F,,,Christa Schumann,1985,11.92,8.389261745
Guinea,Africa,M,,,Joseph Loua,1997,10.56,9.46969697
Guinea,Africa,F,,,M'Mah Toure,1987,12.02,8.319467554
Guinea-Bissau,Africa,M,Y,,Holder da Silva,2009,10.36,9.652509653
Guinea-Bissau,Africa,F,,,Stenia Betuncal,2010,12.54,7.974481659
Guyana,South America,M,,,Adam Harris,2014,10.12,9.881422925
Guyana,South America,F,,,Brenessa Thompson,2016,11.14,8.976660682
Haiti,North America,M,,,Darrell Wesh,2015,10.16,9.842519685
Haiti,North America,F,,,Barbara Pierre,2009,10.85,9.216589862
Honduras,North America,M,,,Rolando Palacios,2008,10.22,9.784735812
Honduras,North America,F,,,Pastora Chí€Œçvez,1996,12.1,8.26446281
Hong Kong,Asia,M,,,Tsui Chi Ho,2010,10.28,9.727626459
